Gmt time,Open,High,Low,Close,Volume
14.02.2011 22:00:00.000,1.34897,1.35509,1.34618,1.34871,197800890869.14
15.02.2011 22:00:00.000,1.34873,1.35888,1.34631,1.35700,207048760009.77
16.02.2011 22:00:00.000,1.35708,1.36191,1.35376,1.36102,203892590087.89
17.02.2011 22:00:00.000,1.36103,1.37152,1.35467,1.36943,194780219238.28
20.02.2011 22:00:00.000,1.37009,1.37163,1.36480,1.36800,117083099243.16
21.02.2011 22:00:00.000,1.36805,1.37040,1.35280,1.36511,236471038818.36
22.02.2011 22:00:00.000,1.36511,1.37870,1.36494,1.37492,204269850830.08
23.02.2011 22:00:00.000,1.37491,1.38210,1.37049,1.38008,216891720947.27
24.02.2011 22:00:00.000,1.38008,1.38390,1.37245,1.37543,174705239501.95
27.02.2011 22:00:00.000,1.37587,1.38553,1.37121,1.38071,180646639892.58
28.02.2011 22:00:00.000,1.38071,1.38550,1.37649,1.37776,190612029296.88
01.03.2011 22:00:00.000,1.37773,1.38910,1.37441,1.38663,179920840087.89
02.03.2011 22:00:00.000,1.38663,1.39717,1.38336,1.39702,173551991210.94
03.03.2011 22:00:00.000,1.39703,1.40072,1.39421,1.39879,153307739990.23
06.03.2011 22:00:00.000,1.39945,1.40364,1.39563,1.39687,196800228637.7
07.03.2011 22:00:00.000,1.39693,1.39893,1.38640,1.39058,167749648437.5
08.03.2011 22:00:00.000,1.39058,1.39420,1.38566,1.39092,185505400146.48
09.03.2011 22:00:00.000,1.39101,1.39251,1.37762,1.37980,207763520507.81
10.03.2011 22:00:00.000,1.37979,1.39149,1.37529,1.39036,177714489990.23
13.03.2011 21:00:00.000,1.39645,1.40040,1.39052,1.39932,191984519531.25
14.03.2011 21:00:00.000,1.39944,1.40137,1.38561,1.39986,237378360229.49
15.03.2011 21:00:00.000,1.39991,1.40031,1.38671,1.39006,224986991210.94
16.03.2011 21:00:00.000,1.39013,1.40532,1.38705,1.40226,243750959960.94
17.03.2011 21:00:00.000,1.40226,1.41860,1.39814,1.41856,199640921386.72
20.03.2011 21:00:00.000,1.41947,1.42399,1.41404,1.42270,155124539550.78
21.03.2011 21:00:00.000,1.42271,1.42489,1.41797,1.41971,167093361816.41
22.03.2011 21:00:00.000,1.41974,1.42151,1.40864,1.40880,190838089355.47
23.03.2011 21:00:00.000,1.40890,1.42166,1.40541,1.41783,175133881591.8
24.03.2011 21:00:00.000,1.41792,1.41943,1.40565,1.40891,175925680419.92
27.03.2011 21:00:00.000,1.40421,1.41161,1.40222,1.40880,146366410156.25
28.03.2011 21:00:00.000,1.40881,1.41491,1.40481,1.41147,164314720214.84
29.03.2011 21:00:00.000,1.41142,1.41480,1.40528,1.41300,184976438476.56
30.03.2011 21:00:00.000,1.41293,1.42335,1.41175,1.41589,183480358276.37
31.03.2011 21:00:00.000,1.41592,1.42458,1.40626,1.42376,179762811035.15
03.04.2011 21:00:00.000,1.42290,1.42690,1.41934,1.42212,149790560546.88
04.04.2011 21:00:00.000,1.42214,1.42462,1.41523,1.42236,160824999389.65
05.04.2011 21:00:00.000,1.42253,1.43500,1.42111,1.43327,179082930908.2
06.04.2011 21:00:00.000,1.43327,1.43377,1.42451,1.43090,189379759521.48
07.04.2011 21:00:00.000,1.43092,1.44891,1.42918,1.44837,173488179931.64
10.04.2011 21:00:00.000,1.44715,1.44842,1.44214,1.44370,155338701049.81
11.04.2011 21:00:00.000,1.44363,1.45193,1.43782,1.44779,218189809448.24
12.04.2011 21:00:00.000,1.44789,1.45202,1.44142,1.44436,179266549316.41
13.04.2011 21:00:00.000,1.44441,1.45150,1.43658,1.44897,201694830566.41
14.04.2011 21:00:00.000,1.44903,1.45043,1.43917,1.44321,168102929809.57
